# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 38
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 19:42:31 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.0.101
# Player 2: Player-1, 'random', running on 192.168.0.101
# Player 3: Player-2, 'random', running on 192.168.0.101
# Player 4: Player-3, 'random', running on 192.168.0.101
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (3,0) (3,2)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,0)
1 (13,0) (11,0)
1 (11,0) (13,0)
1 (13,0) (11,2)
1 (11,2) (13,0)
1 (13,0) (11,0)
1 (11,0) (13,0)
1 null null
2 (2,15) (4,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (3,1) (4,1)
1 (13,2) (13,3)
2 (1,12) (1,11)
3 (13,13) (11,11)
3 null null
0 (0,2) (2,4)
0 (2,4) (0,2)
0 (0,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (0,4)
0 null null
1 (13,3) (12,2)
2 (0,12) (2,10)
2 (2,10) (0,12)
2 (0,12) (2,10)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (1,3) (2,4)
1 (12,2) (11,3)
2 (3,15) (3,13)
2 (3,13) (3,15)
2 null null
3 (12,12) (10,10)
3 null null
0 (4,1) (4,0)
1 (14,2) (13,3)
2 (3,15) (3,13)
2 null null
3 (11,11) (9,9)
3 null null
0 (3,2) (4,2)
1 (12,1) (13,2)
2 (2,10) (1,10)
3 (10,10) (8,8)
3 null null
0 (4,0) (3,0)
1 (13,0) (12,1)
2 (1,11) (0,11)
3 (9,9) (7,7)
3 null null
0 (0,0) (0,2)
0 null null
1 (13,3) (12,3)
2 (1,13) (3,15)
2 (3,15) (1,13)
2 (1,13) (3,15)
2 (3,15) (1,13)
2 (1,13) (3,15)
2 (3,15) (5,15)
2 null null
3 (8,8) (6,6)
3 null null
0 (4,2) (5,2)
1 (12,0) (14,2)
1 (14,2) (12,2)
1 (12,2) (14,2)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (12,0)
1 (12,0) (14,2)
1 null null
2 (2,14) (2,12)
2 (2,12) (2,14)
2 (2,14) (2,12)
2 null null
3 (7,7) (5,5)
3 null null
0 (3,0) (4,0)
1 (11,3) (12,2)
2 (0,11) (0,12)
3 (6,6) (4,4)
3 null null
0 (1,1) (3,1)
0 null null
1 (15,0) (13,0)
1 null null
2 (2,12) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,12)
2 null null
3 (5,5) (3,3)
3 (3,3) (1,1)
3 null null
0 (5,2) (6,3)
1 (13,2) (11,0)
1 null null
2 (1,14) (1,13)
3 (15,14) (13,12)
3 null null
0 (2,4) (3,5)
1 (13,1) (11,1)
1 (11,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (13,3)
1 (13,3) (11,3)
1 null null
2 (4,15) (4,14)
3 (13,15) (11,13)
3 null null
0 (6,3) (5,4)
1 (12,3) (13,4)
2 (2,12) (1,12)
3 (12,14) (10,12)
3 (10,12) (10,10)
3 null null
0 (3,1) (3,2)
1 (12,1) (13,2)
2 (4,14) (4,13)
3 (15,13) (13,11)
3 null null
0 (3,5) (2,6)
1 (14,2) (13,1)
2 (1,12) (1,11)
3 (14,12) (12,10)
3 null null
0 (4,0) (3,0)
1 (13,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (11,2)
1 null null
2 (1,10) (1,9)
3 (13,11) (11,9)
3 null null
0 (1,2) (1,3)
1 (11,2) (12,3)
2 (3,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (1,12)
2 (1,12) (3,14)
2 (3,14) (3,12)
2 (3,12) (5,14)
2 null null
3 (12,10) (10,8)
3 null null
0 (0,1) (0,0)
1 (12,3) (14,5)
1 (14,5) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,3)
1 null null
2 (1,11) (2,11)
3 (11,9) (9,7)
3 null null
0 (3,2) (3,3)
1 (12,3) (13,2)
2 (1,9) (2,8)
3 (10,8) (8,6)
3 null null
0 (2,0) (3,1)
1 (11,3) (10,2)
2 (1,15) (1,14)
3 (9,7) (7,5)
3 null null
0 (3,0) (4,1)
1 (14,0) (15,0)
2 (2,8) (1,7)
3 (8,6) (6,4)
3 null null
0 (3,3) (4,3)
1 (13,2) (13,3)
2 (0,14) (2,14)
2 (2,14) (0,14)
2 null null
3 (7,5) (5,3)
3 (5,3) (3,3)
3 null null
0 (2,1) (0,1)
0 null null
1 (14,1) (12,1)
1 (12,1) (12,3)
1 null null
2 (1,7) (0,8)
3 (14,13) (12,11)
3 null null
