# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 42
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 22:01:09 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.0.101
# Player 2: Player-1, 'random', running on 192.168.0.101
# Player 3: Player-2, 'random', running on 192.168.0.101
# Player 4: Player-3, 'random', running on 192.168.0.101
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
2 (6,13) (7,12)
3 (11,9) (9,7)
3 (9,7) (7,7)
3 null null
0 (12,12) (13,13)
1 (8,11) (6,13)
1 (6,13) (4,13)
1 null null
2 (5,15) (6,14)
3 (7,7) (6,6)
0 (13,13) (14,14)
1 (4,13) (3,14)
2 (7,12) (8,11)
3 (6,6) (5,5)
0 (14,14) (15,15)
1 (14,1) (13,2)
2 (5,13) (6,12)
3 (5,5) (4,4)
0 (5,7) (6,8)
1 (13,2) (12,3)
2 (5,9) (7,7)
2 (7,7) (9,7)
2 null null
3 (10,8) (8,6)
3 null null
0 (6,8) (7,9)
1 (11,2) (10,3)
2 (6,12) (7,11)
3 (4,4) (2,2)
3 null null
0 (7,9) (9,11)
0 null null
1 (10,3) (9,4)
2 (7,11) (9,9)
2 (9,9) (11,9)
2 (11,9) (11,7)
2 (11,7) (11,5)
2 null null
3 (3,3) (1,1)
3 null null
0 (8,10) (10,12)
0 (10,12) (12,14)
0 (12,14) (14,14)
0 null null
1 (9,4) (7,4)
1 null null
2 (11,5) (12,4)
3 (2,2) (0,0)
3 null null
0 (3,0) (4,1)
1 (13,3) (11,5)
1 (11,5) (11,7)
1 (11,7) (11,9)
1 (11,9) (9,9)
1 null null
2 (11,6) (12,5)
3 (8,6) (7,5)
0 (4,1) (6,3)
0 (6,3) (8,5)
0 null null
1 (7,4) (6,5)
2 (13,10) (15,10)
2 null null
3 (7,5) (6,4)
0 (1,4) (2,5)
1 (9,9) (8,10)
2 (8,7) (10,7)
2 null null
3 (3,8) (2,7)
0 (5,2) (6,3)
1 (6,5) (5,6)
2 (10,7) (11,6)
3 (10,9) (9,8)
0 (3,4) (4,5)
