# Server version 0.08 running on 192.168.1.160:8123
# Game ID: 34
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 18:35:51 EDT 2014
# Player 1: Player-0, 'random', running on localhost
# Player 2: Player-1, 'random', running on 192.168.1.160
# Player 3: Player-2, 'random', running on 192.168.1.160
# Player 4: Player-3, 'random', running on 192.168.1.160
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (15,2) (13,4)
1 (13,4) (15,2)
1 null null
2 (3,15) (4,15)
3 (14,13) (12,13)
3 (12,13) (14,13)
3 (14,13) (14,11)
3 null null
0 (1,2) (3,4)
0 null null
1 (13,1) (12,2)
2 (1,13) (3,13)
2 null null
3 (12,15) (14,13)
3 (14,13) (12,13)
3 null null
0 (2,0) (4,2)
0 null null
1 (12,1) (11,1)
2 (0,13) (0,11)
2 null null
3 (13,15) (12,15)
0 (1,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (11,1) (11,0)
2 (3,14) (4,14)
3 (15,14) (14,13)
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (11,0) (10,1)
2 (2,13) (4,13)
2 (4,13) (2,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (13,0) (12,1)
2 (3,13) (2,12)
3 (13,14) (13,15)
0 (3,1) (5,3)
0 null null
1 (15,3) (15,4)
2 (2,15) (0,13)
2 null null
3 (12,14) (13,14)
0 (4,2) (6,4)
0 null null
1 (15,0) (13,0)
1 null null
2 (1,15) (2,15)
3 (12,13) (11,12)
0 (5,3) (7,5)
0 null null
1 (13,0) (15,0)
1 (15,0) (13,0)
1 null null
2 (0,11) (1,10)
3 (15,15) (14,14)
0 (6,4) (8,6)
0 null null
1 (15,4) (15,5)
2 (4,14) (5,15)
3 (14,12) (12,14)
3 null null
0 (7,5) (9,7)
0 null null
1 (13,2) (11,0)
1 (11,0) (9,2)
1 null null
2 (1,12) (3,12)
2 (3,12) (1,12)
2 null null
3 (15,13) (15,11)
3 (15,11) (15,13)
3 null null
0 (8,6) (10,8)
0 null null
1 (14,2) (15,3)
2 (1,14) (3,12)
2 null null
3 (13,13) (12,13)
0 (3,5) (5,7)
0 null null
1 (15,5) (14,5)
2 (1,12) (0,11)
3 (15,12) (15,11)
0 (4,6) (6,8)
0 null null
1 (12,2) (13,1)
2 (2,15) (3,14)
3 (12,12) (11,11)
0 (5,7) (7,9)
0 null null
1 (14,5) (15,4)
2 (2,14) (3,15)
3 (12,14) (11,14)
0 (6,8) (8,10)
0 null null
1 (10,1) (10,2)
2 (1,10) (0,9)
3 (13,15) (15,15)
3 (15,15) (13,13)
3 (13,13) (15,15)
3 null null
0 (9,7) (11,9)
0 null null
1 (15,3) (13,3)
1 null null
2 (3,12) (3,11)
3 (15,15) (13,13)
3 null null
0 (10,8) (12,10)
0 null null
1 (13,0) (13,2)
1 (13,2) (11,0)
1 null null
2 (3,11) (4,11)
3 (15,13) (15,12)
0 (11,9) (13,11)
0 null null
1 (13,3) (14,4)
2 (0,11) (1,12)
3 (13,14) (13,12)
3 (13,12) (13,10)
3 (13,10) (11,10)
3 null null
0 (12,10) (14,12)
0 null null
1 (14,0) (14,2)
1 (14,2) (14,0)
1 null null
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (2,11)
2 (2,11) (2,13)
2 null null
3 (14,11) (15,10)
0 (7,9) (9,11)
0 null null
1 (10,2) (9,3)
2 (4,15) (2,15)
2 (2,15) (4,13)
2 null null
3 (15,10) (14,11)
0 (8,10) (10,12)
0 (10,12) (12,12)
0 (12,12) (12,14)
0 null null
1 (14,4) (15,5)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 null null
3 (13,13) (13,14)
0 (2,3) (4,5)
0 null null
1 (14,1) (13,0)
2 (2,12) (2,11)
3 (12,13) (13,13)
0 (3,4) (5,6)
0 null null
1 (12,1) (11,2)
2 (5,15) (4,15)
3 (14,13) (13,12)
0 (4,5) (6,7)
0 null null
1 (12,0) (10,0)
1 (10,0) (12,0)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 null null
2 (0,15) (1,15)
3 (12,15) (12,13)
3 (12,13) (10,15)
3 (10,15) (12,13)
3 (12,13) (14,13)
3 (14,13) (12,15)
3 null null
0 (5,6) (7,8)
0 null null
1 (13,0) (12,1)
2 (1,12) (1,11)
3 (11,12) (12,12)
0 (6,7) (8,9)
0 null null
1 (12,0) (11,1)
2 (4,11) (4,12)
3 (14,14) (14,13)
0 (7,8) (9,10)
0 (9,10) (9,12)
0 null null
1 (13,1) (13,2)
2 (4,12) (4,14)
